JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,POL_SN,CT_RLPS_GBN_CD,CT_IN_RLTN_CD,IS_INDIV,GIS_CD
71763,1,08,8116766,0,7962056,C,01,1,31
789526,1,06,7380530,0,609377,C,01,1,21
1062259,1,06,3843434,0,2232622,I,02,1,31
794020,1,08,8537715,0,2037971,C,03,1,37
1747584,1,06,5252902,0,6932957,I,01,1,31
915620,1,08,507595,0,2271809,I,01,1,37
1056545,1,06,8723530,0,819899,I,99,1,99
396082,1,08,5378987,0,1682075,C,01,1,36
217076,1,06,5474200,0,9631894,I,01,1,99
53824,1,08,2179396,0,5371804,I,03,1,38
1044997,1,06,9425901,0,2587485,C,99,1,31
1531485,1,08,2243453,0,7299607,I,01,1,21
40474,1,03,3940142,0,5768218,C,01,1,31
650059,1,08,8326310,0,1830238,I,01,1,31
977389,1,06,2679375,0,5301339,I,03,1,99
696312,1,03,7723906,0,7040679,C,01,1,31
1801724,1,06,9683667,0,3999764,C,01,1,36
1433378,1,08,7591706,0,5160109,C,01,1,11
229384,1,08,7829938,0,5084255,I,99,1,31
891422,1,08,852297,0,7044215,I,01,1,38
1438877,1,03,1570500,0,876222,I,01,1,31
300526,1,06,2448266,0,1839053,I,03,1,31
980300,1,06,4542903,0,7779665,I,01,1,31
32459,1,08,8591831,0,3251163,I,01,1,31
1805263,1,06,7027750,0,6871645,I,99,1,11
145781,1,06,3533003,0,4633055,I,02,1,37
1223362,1,06,5543891,0,3487327,I,01,1,99
1023171,1,08,1966272,0,2094614,I,01,1,22
310401,1,08,9806244,0,2221812,I,99,1,99
312518,1,06,7162463,0,1729878,C,01,1,37
1444494,1,06,4715626,0,1421214,I,01,1,38
1214854,1,06,4536699,0,7117268,C,99,1,23
1491611,1,03,9198611,0,4929419,C,01,1,36
1362519,1,08,7875384,0,9351510,I,01,1,11
1484582,1,06,2528623,0,3155193,C,01,1,23
985766,1,08,1316850,0,8789398,I,01,1,31
561202,1,06,2311754,0,8561771,C,99,1,23
534073,1,08,2673361,0,5468083,I,99,1,21
50245,1,06,5867584,0,2576885,C,01,1,99
232560,1,06,1429237,0,2107906,I,01,1,23
576962,1,06,2557212,0,6354159,C,99,1,31
437215,1,08,8339443,0,6646532,C,01,1,34
75195,1,06,8447739,0,1290062,C,99,1,32
623745,1,06,6420709,0,5794149,C,01,1,36
1091435,1,06,2829145,0,3997859,C,01,1,11
1214854,1,06,4536699,0,3264377,C,99,1,23
1520245,1,08,9679262,0,7772969,I,01,1,99
570310,1,06,5237413,0,6087922,I,03,1,99
1127567,1,08,7016361,0,2516185,I,01,1,21
476973,1,08,1206166,0,5203944,C,01,1,11
964843,1,03,2335489,0,2309221,I,01,1,23
984579,1,08,9286058,0,5939377,C,01,1,11
1305129,1,06,9456872,0,3743302,C,99,1,37
1551520,1,08,8015473,0,5046632,I,03,1,36
889652,1,06,2798984,0,5980903,C,99,1,31
1900223,1,08,5299793,0,7070926,C,01,1,35
1681332,1,08,5612327,0,408506,I,99,1,31
1845369,1,06,8259838,0,8533433,C,99,1,38
1537537,1,06,1873959,0,2510733,C,01,1,99
684665,1,08,1444519,0,7560473,C,99,1,31
1506222,1,06,2440230,0,2098611,C,01,1,99
390412,1,06,7346296,0,8858901,I,99,1,99
732624,1,08,6113746,0,469836,I,01,1,11
1804921,1,08,5323497,0,5674816,C,01,1,37
1605957,1,08,9735845,0,144515,I,01,1,36
209748,1,06,4611051,0,8763118,I,99,1,99
123511,1,06,7830427,0,3283416,C,99,1,99
757681,1,08,9615463,0,2676477,I,01,1,11
403474,1,08,3580643,0,9126708,C,01,1,99
743319,1,08,2547639,0,9541074,I,01,1,11
88051,1,06,5342855,0,755169,I,99,1,99
888469,1,06,6993388,0,4350745,I,01,1,23
1020646,1,06,9324430,0,5989366,C,99,1,21
1508881,1,08,1630304,0,846544,I,01,1,31
85068,1,06,5104356,0,9219623,C,01,1,21
1020646,1,08,6980391,0,6800025,I,01,1,21
1241878,1,08,1557550,0,633371,I,99,1,11
1611695,1,06,4179470,0,868164,I,03,1,11
1649872,1,06,3135032,0,4308792,I,99,1,99
1899233,1,06,8489225,0,2135837,C,99,1,11
1003032,1,08,5044762,0,7498228,C,01,1,38
605021,1,08,5226893,0,5688457,I,02,1,25
1394573,1,06,762748,0,4314374,I,01,1,33
1204091,1,08,2405614,0,3311760,I,01,1,11
1596494,1,08,7175042,0,4254136,C,01,1,11
691863,1,06,268025,0,406931,I,01,1,99
1908474,1,08,8456566,0,424045,I,01,1,33
310960,1,06,5614143,0,7425874,I,99,1,99
703679,1,06,4597390,0,45904,I,99,1,99
698997,1,06,4068024,0,1459042,I,99,1,99
1371441,1,06,6527398,0,6315694,I,01,1,24
129542,1,06,7528048,0,5311114,C,01,1,31
891867,1,06,4495735,0,7658691,C,01,1,24
1060442,1,08,792878,0,7211216,C,01,1,22
1821675,1,08,8710758,0,2204116,C,01,1,26
868230,1,08,8971178,0,7943960,C,01,1,33
1127386,1,06,2996494,0,944196,I,03,1,36
64492,1,06,10010311,0,5637008,I,01,1,23
1641032,1,06,8962928,0,6418402,I,01,1,99
965112,1,06,5602052,0,5887884,I,01,1,31
980441,1,06,6933929,0,6736751,C,99,1,24
1345789,1,06,6916353,0,4736424,C,01,1,23
823622,1,06,5406427,0,9892377,C,01,1,11
1214854,1,06,4536699,0,3931383,C,99,1,23
1256779,1,06,5052745,0,6621824,C,01,1,39
1770235,1,06,7311664,0,5178642,I,01,1,99
833637,1,06,6534043,0,4567737,C,99,1,11
510756,1,08,8612646,0,2214050,I,01,1,11
767193,1,06,340830,0,5207211,I,99,1,99
487204,1,06,7350371,0,3046217,I,99,1,11
628099,1,06,5301531,0,1704330,I,01,1,35
1086927,1,06,2142845,0,5584452,C,01,1,99
731695,1,06,8084729,0,6700086,I,99,1,99
55995,1,08,9771028,0,3691515,C,01,1,11
1274676,1,06,1264893,0,725181,I,01,1,25
398559,1,08,2012775,0,9303017,C,01,1,38
1876788,1,08,8241935,0,7562303,C,01,1,11
1838632,1,08,6851229,0,6116333,C,01,1,21
689457,1,06,8020263,0,8778250,I,03,1,35
1246964,1,08,4354717,0,6979108,C,01,1,24
951501,1,08,7709475,0,5462878,I,01,1,21
1724075,1,06,9632183,0,3107546,I,01,1,11
1032539,1,08,9469785,0,6785350,I,99,1,35
1047620,1,06,2002429,0,3387679,C,01,1,37
200940,1,08,4451382,0,1423363,I,01,1,37
1095568,1,08,6583147,0,275036,I,01,1,34
550133,1,08,5254264,0,8181946,C,01,1,21
1063996,1,08,3895705,0,816545,C,01,1,11
67310,1,06,1281993,0,6845388,I,99,1,38
669569,1,06,5000893,0,1068703,C,01,1,99
933981,1,08,6794981,0,8656520,I,01,1,26
1919064,1,06,1787314,0,7444016,C,01,1,11
729278,1,08,2640033,0,369961,C,03,1,32
426720,1,06,4069539,0,7600561,C,01,1,23
453995,1,03,7235710,0,2935055,I,01,1,11
684665,1,08,2405685,0,4973509,I,01,1,31
907311,1,06,575401,0,3628102,C,99,1,36
1211487,1,06,3492872,0,9061367,C,01,1,38
1484769,1,06,4006725,0,3421315,I,01,1,23
1027827,1,08,6321938,0,9152312,C,01,1,11
539023,1,08,1765298,0,443836,I,01,1,21
1050930,1,06,3980017,0,9020839,C,99,1,21
219295,1,08,5235859,0,4991706,I,01,1,34
1171182,1,06,6565335,0,347198,C,99,1,99
114260,1,08,4973217,0,5151866,I,01,1,23
1369717,1,08,6668435,0,753837,C,01,1,11
1788041,1,06,334118,0,3757096,I,01,1,35
76422,1,06,9853673,0,4364564,I,99,1,11
260975,1,03,5274708,0,7494980,C,01,1,11
1088701,1,06,3682753,0,1020181,I,03,1,99
99521,1,06,5705360,0,2613293,I,01,1,26
1700283,1,08,7863146,0,4475358,C,01,1,24
806165,1,08,5419438,0,4382508,C,01,1,32
189141,1,06,9126102,0,8337986,I,01,1,99
968236,1,08,2078734,0,219013,C,01,1,22
191621,1,03,1117105,0,4716142,I,01,1,21
837587,1,08,722495,0,1383256,C,01,1,26
1226835,1,06,8555162,0,7846142,I,03,1,32
461427,1,08,3365942,0,367047,I,01,1,11
1284167,1,06,4187885,0,2329443,I,99,1,99
1857757,1,08,5504077,0,3772417,C,01,1,23
1230517,1,08,3981320,0,2033822,C,01,1,38
651821,1,08,8052284,0,3197126,C,01,1,11
844625,1,06,1175602,0,7412877,I,99,1,31
1582795,1,06,6492774,0,6356942,C,01,1,33
665784,1,08,8615109,0,4675491,C,01,1,99
1770235,1,06,869372,0,5993771,C,01,1,26
1025072,1,06,1477877,0,6359297,I,01,1,99
744075,1,06,5012026,0,8927677,I,03,1,99
1548190,1,06,4161032,0,6814237,C,99,1,35
883665,1,08,5594444,0,3488005,I,01,1,34
409901,1,06,2983159,0,8991726,C,01,1,99
87151,1,06,8402519,0,720711,I,01,1,99
74330,1,08,3768315,0,6373119,C,01,1,11
1658001,1,06,4785468,0,6385348,I,99,1,11
1121054,1,06,4745555,0,4639142,C,01,1,31
565652,1,03,8959712,0,892614,I,01,1,11
1153937,1,06,6345605,0,9204888,I,01,1,31
1687683,1,08,6186474,0,7115464,C,99,1,38
980441,1,06,9311623,0,2408120,C,99,1,24
340273,1,06,6667019,0,4906586,C,99,1,35
31966,1,08,3745735,0,5055998,I,01,1,99
425409,1,06,1083131,0,3160882,I,99,1,31
1292299,1,08,7709743,0,4065336,I,01,1,99
757681,1,08,9615463,0,710958,C,01,1,11
888469,1,06,6993388,0,1250184,C,99,1,99
1295279,1,08,841924,0,7532214,C,01,1,99
229397,1,06,39990,0,9648015,C,01,1,24
89380,1,08,890526,0,7978841,I,01,1,31
634120,1,08,6904139,0,7876323,I,01,1,32
520850,1,06,4812731,0,1831867,I,99,1,99
1790627,1,06,5164108,0,4443377,I,99,1,99
502933,1,06,759159,0,7163777,C,99,1,34
352966,1,06,203219,0,6202346,I,99,1,24
1570740,1,06,7877626,0,1717713,I,03,1,99
1384750,1,06,4032189,0,9944153,I,99,1,99
659334,1,08,3987521,0,26666,I,99,1,34
201306,1,06,8208839,0,6284555,I,01,1,23
251329,1,06,433617,0,3436790,C,01,1,99
1505418,1,06,8506413,0,597583,I,01,1,99
1869785,1,06,445600,0,166629,I,01,1,11
1787357,1,06,4167649,0,1697327,C,01,1,31
1588275,1,08,4608555,0,6440689,I,01,1,31
1145318,1,08,5144312,0,788077,I,01,1,34
1700283,1,06,5890184,0,9991103,C,01,1,99
409142,1,08,1907749,0,323212,I,01,1,23
334986,1,06,93858,0,7334551,I,99,1,37
982286,1,08,3242600,0,2823786,C,01,1,22
1189283,1,06,7137363,0,1626401,C,01,1,11
374954,1,08,9698516,0,9074020,I,02,1,34
449119,1,06,7104975,0,7333989,I,02,1,24
1669730,1,08,8689317,0,9184934,I,01,1,21
125611,1,03,5002404,0,8701284,I,02,1,37
1461733,1,03,5796498,0,6592742,C,03,1,31
206123,1,08,8355431,0,3059709,I,01,1,36
1381567,1,08,4408170,0,8453168,I,01,1,35
1750675,1,06,9246714,0,9073162,I,03,1,99
1589616,1,08,3227875,0,7079055,I,01,1,11
44874,1,06,8844223,0,3135330,C,01,1,99
53526,1,08,8199334,0,8046351,C,01,1,31
1772095,1,08,37528,0,3134338,C,99,1,99
79824,1,06,9447806,0,1999351,I,99,1,99
353990,1,06,262866,0,8347342,I,01,1,99
1049432,1,08,3644168,0,3913145,C,01,1,23
1166749,1,08,4783617,0,125828,I,99,1,25
1369717,1,08,336917,0,4077766,I,01,1,31
1945095,1,08,1887745,0,6789617,I,01,1,11
193531,1,08,4657298,0,3652105,C,03,1,31
289925,1,06,1083758,0,6297633,C,01,1,99
1856687,1,06,1125880,0,8255472,C,01,1,99
804251,1,08,5873947,0,2015264,C,01,1,31
198801,1,08,8399794,0,5735449,I,01,1,31
1848772,1,08,3614872,0,9368258,C,01,1,31
252221,1,06,5271815,0,2504721,I,99,1,11
1770048,1,06,4596831,0,3600866,I,03,1,31
1005863,1,06,8564593,0,2789402,C,01,1,21
974377,1,06,8655762,0,5022872,C,99,1,31
1557007,1,08,7135558,0,6952182,I,99,1,11
1853902,1,06,8875171,0,5529404,C,01,1,22
981087,1,08,273192,0,6968397,I,01,1,38
806471,1,06,5341906,0,4019516,I,01,1,99
12431,1,06,8839563,0,3740048,I,03,1,99
1633328,1,06,8457721,0,5290328,I,01,1,32
870070,1,06,8524333,0,7107496,I,01,1,99
845873,1,08,1898466,0,7256294,C,01,1,11
498855,1,06,2109332,0,3385985,I,03,1,99
1252093,1,06,9622187,0,8011768,I,99,1,99
1370331,1,06,3762672,0,1559002,C,99,1,11
982286,1,08,6646721,0,9580290,C,01,1,99
773591,1,08,1059623,0,8026251,C,01,1,23
974208,1,08,9026376,0,5753902,I,02,1,22
1652384,1,08,6167698,0,5248051,C,01,1,11
258490,1,08,8668150,0,5433488,I,01,1,38
703246,1,08,7757818,0,8529855,C,01,1,11
502933,1,08,9468981,0,4330285,C,01,1,34
1358527,1,06,9895628,0,1650703,C,99,1,24
57754,1,06,3453076,0,1922074,I,01,1,31
1734207,1,06,9775067,0,6314441,I,01,1,99
1653571,1,06,136655,0,5214132,C,01,1,99
172116,1,06,98102,0,9055971,I,01,1,99
780775,1,06,7475711,0,9461625,I,99,1,23
224786,1,06,2038818,0,5988839,I,99,1,99
1756017,1,06,4046885,0,3670529,I,01,1,34
1469309,1,08,4495008,0,928558,C,01,1,11
1144584,1,08,1820570,0,9497292,I,01,1,33
1151021,1,06,6678987,0,5672850,C,01,0,24
140019,1,08,6862333,0,3749872,I,01,1,31
679753,1,06,4629438,0,7717019,I,01,1,23
1469309,1,06,768174,0,3829537,C,99,1,11
503033,1,08,1954138,0,7281089,I,01,1,11
269562,1,03,8104055,0,7454978,I,01,1,37
225638,1,06,8550037,0,3293538,I,99,1,11
590784,1,06,7551071,0,5270334,I,01,1,99
1922919,1,08,10026026,0,5925582,I,01,1,31
1927410,1,06,5653828,0,3814965,I,99,1,31
1752274,1,08,195617,0,3319390,I,03,1,34
1741984,1,03,8433502,0,9859788,I,03,1,23
39223,1,06,1138960,0,8326133,C,01,1,31
1099437,1,06,722482,0,3909823,C,01,1,33
1344286,1,06,5009895,0,3150531,I,03,1,99
1589960,1,08,387362,0,9581475,I,01,1,11
840133,1,06,3840880,0,4178072,C,99,1,23
1870890,1,06,7492073,0,960430,C,01,1,32
70409,1,06,3974530,0,8448443,I,99,1,99
104041,1,08,4341412,0,9823905,I,01,1,99
1611076,1,06,4270920,0,2156546,I,01,1,99
1187906,1,08,1154050,0,9903925,C,01,1,31
807900,1,08,9048613,0,8424329,I,01,1,32
346436,1,08,7966723,0,9369723,I,01,1,26
1108576,1,06,7391502,0,9252073,I,99,1,35
548223,1,06,8592052,0,4410987,C,01,1,99
1755463,1,06,1537018,0,6191978,C,99,1,33
310401,1,03,1545192,0,4892333,C,01,1,25
655510,1,08,7822373,0,3915907,I,01,1,21
157888,1,08,158711,0,1831862,C,01,1,31
1177416,1,06,5652627,0,5883460,I,99,1,99
344242,1,08,4914571,0,2853738,I,01,1,11
1364206,1,03,9028256,0,918861,C,03,1,34
1481429,1,06,4742600,0,1776546,C,01,1,31
86261,1,06,2942528,0,6213311,I,99,1,99
1225843,1,06,2686824,0,6505443,C,01,1,99
468373,1,03,7252996,0,1334199,I,03,1,31
642047,1,06,769021,0,9074949,C,01,1,11
873921,1,06,9079436,0,6487418,C,01,1,99
1093252,1,08,5858734,0,2340863,C,03,1,99
288674,1,06,7027772,0,3605620,I,99,1,24
1753609,1,08,6271674,0,4363194,C,01,1,33
888249,1,06,8348561,0,1082902,C,99,1,99
907657,1,06,7265805,0,6538037,I,99,1,11
717753,1,03,5702388,0,2967964,I,02,1,11
1308504,1,06,2311948,0,7531331,I,99,1,11
12451,1,08,3251030,0,6682356,C,01,1,11
327201,1,08,5673409,0,8818494,C,01,1,21
1714104,1,06,8638059,0,954669,C,01,1,36
836097,1,06,1493039,0,4551487,C,99,1,31
758507,1,08,4223493,0,1140924,C,01,1,24
1577730,1,06,4764126,0,6354800,I,02,1,31
515735,1,08,6181500,0,5179090,I,01,1,31
811394,1,06,9787915,0,6171404,C,01,1,99
1753399,1,08,4134107,0,3756008,C,01,1,31
1674667,1,03,5583731,0,4487253,I,01,1,34
1214854,1,06,4536699,0,6625912,I,01,1,23
1072308,1,08,2072225,0,8074762,I,01,1,33
584479,1,06,2817662,0,4370234,I,01,1,11
1923009,1,08,3953258,0,8488705,I,99,1,31
637220,1,06,6972477,0,7900375,C,01,1,99
1717058,1,06,9311334,0,3423869,C,01,1,99
1243584,1,06,7379738,0,182184,C,01,1,31
167760,1,08,5423876,0,844914,I,99,1,11
1905181,1,08,4395119,0,2095166,C,01,1,11
412662,1,06,7288475,0,4111092,I,03,1,99
914628,1,06,644745,0,9266034,C,99,1,33
1454551,1,08,8106241,0,2057758,C,06,1,11
601291,1,06,2340836,0,5250643,I,01,1,23
195202,1,08,1080749,0,6921409,C,01,1,38
695082,1,06,6864895,0,4162701,C,99,1,35
207824,1,08,2623588,0,2135830,C,01,1,21
850845,1,06,9230746,0,7534808,I,99,1,32
223797,1,06,5283304,0,112852,I,01,1,99
486428,1,06,4008937,0,3081724,C,01,1,99
1725075,1,06,2287210,0,8296362,C,99,1,34
665938,1,08,7524986,0,2045315,I,01,1,35
1530755,1,08,7651197,0,421153,I,01,1,37
315756,1,06,3117093,0,204861,I,99,1,99
655510,1,08,492570,0,7044920,C,01,1,21
454515,1,06,1504268,0,75907,C,99,1,99
870699,1,06,6120816,0,3285514,C,01,1,99
104041,1,06,1462320,0,281040,I,01,1,31
1183390,1,06,4662894,0,7768331,I,99,1,99
638144,1,08,935713,0,1305134,I,01,1,31
1505418,1,06,8506413,0,1726255,C,01,1,99
1465245,1,06,7311432,0,1188932,C,01,1,32
285480,1,08,8430376,0,6543936,I,01,1,32
55033,1,06,7753736,0,8787553,I,01,1,21
237848,1,06,2746109,0,2997801,I,01,1,99
692983,1,06,9856771,0,7965501,I,03,1,31
470794,1,08,6389215,0,7205785,C,01,1,11
981371,1,08,1932560,0,1055551,C,01,1,31
426720,1,06,4069539,0,9655256,I,01,1,23
1943599,1,06,6499752,0,6509547,C,01,0,38
1819166,1,06,4802962,0,9203437,I,01,1,99
1467759,1,08,3632826,0,1927521,I,01,1,99
357053,1,08,8365864,0,1758043,C,01,1,99
551793,1,06,7626077,0,2489829,C,01,1,99
180110,1,08,7433924,0,9011739,I,01,1,38
1446222,1,06,5610211,0,6422931,C,01,1,31
1756017,1,08,1387917,0,6726763,C,01,1,34
211272,1,03,5132866,0,689576,I,01,1,24
761156,1,08,7324482,0,5750166,C,01,1,31
1647136,1,08,8376887,0,7920013,I,01,1,31
1053687,1,06,9548162,0,116127,I,99,1,99
281803,1,03,2203279,0,6829908,C,01,1,31
1790627,1,06,6533588,0,2231361,I,01,1,31
869631,1,06,8737580,0,2213213,I,01,1,38
1164005,1,06,8311018,0,5594637,I,03,1,38
1724075,1,08,179352,0,7541221,C,01,1,31
536602,1,08,5271723,0,2663829,I,01,1,38
77992,1,08,7922046,0,4301842,I,01,1,34
1242034,1,08,1156210,0,2691204,I,01,1,99
1721777,1,06,7749308,0,5149393,C,01,1,11
1311915,1,08,7588445,0,2858597,I,01,1,31
974377,1,08,1185618,0,188659,C,01,1,11
1035876,1,08,2086413,0,2843475,I,01,1,35
486988,1,06,8541415,0,4817470,I,03,1,99
322769,1,08,8567421,0,1002477,C,01,1,22
1164005,1,06,4044398,0,5720474,I,99,1,99
531571,1,06,199997,0,3922301,C,01,1,99
1198148,1,06,6646042,0,4276888,I,01,1,31
210140,1,06,2081528,0,1309999,C,01,1,99
1589794,1,06,9924801,0,9893416,I,01,1,23
679753,1,08,9033587,0,7713302,C,01,1,23
1306810,1,06,6874299,0,370024,I,01,1,31
1958887,1,06,2949602,0,7188762,C,99,1,21
1269519,1,06,5677300,0,2633706,C,99,1,36
570219,1,06,7599484,0,523993,C,01,1,11
1770235,1,06,7311664,0,18821,C,01,1,99
732440,1,06,7414724,0,9070439,I,01,1,31
749884,1,03,9394725,0,1536708,C,01,1,33
1857757,1,06,662013,0,1443844,C,99,1,23
412617,1,06,4660218,0,1091377,I,01,1,31
477495,1,06,6688331,0,4266626,I,99,1,99
1792474,1,06,4498879,0,3181990,I,99,1,36
824599,1,06,9853046,0,4437606,I,01,1,31
1678118,1,06,2475508,0,4319545,C,99,1,39
823556,1,08,4738750,0,2251759,I,01,1,38
1303506,1,06,1587567,0,9907313,I,01,1,34
61266,1,08,7657400,0,8674828,C,01,1,99
1111536,1,08,5921750,0,9943880,C,01,1,37
74330,1,08,6754243,0,2244548,C,01,1,11
1628409,1,06,7953034,0,8559621,I,99,1,99
1295279,1,06,5054909,0,8674734,C,99,1,11
484457,1,08,8328088,0,6284584,I,01,1,31
277705,1,08,1097278,0,2372602,I,03,1,33
5796,1,06,3607824,0,6544162,I,99,1,11
1533294,1,06,3376124,0,1294510,C,01,1,34
1469309,1,08,3150046,0,6879571,C,01,1,11
1432089,1,08,1695384,0,9606616,C,01,1,31
44160,1,08,5343780,0,1471304,C,01,1,11
216118,1,06,1009690,0,2790754,I,99,1,99
1543921,1,06,6344703,0,5931951,I,99,1,31
1174072,1,06,6597842,0,8487066,I,01,1,34
1592098,1,08,3776427,0,5413559,I,01,1,31
1927916,1,08,6190694,0,4535470,C,01,1,11
645045,1,06,4649205,0,2013890,I,99,1,99
1227477,1,08,5143629,0,4589533,I,01,1,21
219818,1,06,7860566,0,8557066,I,02,1,32
275519,1,06,4411872,0,2492062,I,99,1,31
1477384,1,08,719453,0,1281864,I,01,1,34
1688970,1,06,9320616,0,3075291,I,01,1,99
1035451,1,06,3447712,0,597321,I,99,1,38
447048,1,08,8802391,0,7098106,I,01,1,35
795222,1,08,9285671,0,9196184,I,01,1,26
1731560,1,06,9077469,0,3205667,I,01,1,99
79824,1,08,9595345,0,8522385,I,01,1,38
1140818,1,08,9098705,0,8819158,C,03,1,22
1650023,1,08,662542,0,8283449,I,99,1,35
732624,1,08,8182813,0,820154,C,01,1,11
937488,1,08,7202170,0,1913303,I,01,1,11
173291,1,08,9651659,0,650054,C,01,1,31
1414198,1,06,5927792,0,4223771,I,01,1,99
85595,1,06,5379628,0,5871387,I,99,1,99
1792474,1,08,5159728,0,4045364,C,01,1,11
1063996,1,08,1896019,0,6581535,I,01,1,11
1269321,1,06,421236,0,182785,C,01,1,23
837587,1,06,7160818,0,2163790,C,99,1,26
1805254,1,03,5740810,0,7351593,I,01,1,36
977389,1,08,7005441,0,3533556,C,01,1,23
296337,1,08,9022957,0,6826379,C,01,1,23
774944,1,08,5766859,0,1008725,I,99,1,11
857175,1,08,3389950,0,8882987,C,01,1,31
1371441,1,06,9111663,0,1835542,I,01,1,24
1164761,1,06,7416112,0,6905843,C,01,1,31
1474673,1,06,1476860,0,8577499,C,01,1,99
700569,1,06,8213996,0,5171463,I,03,1,36
804146,1,08,2907064,0,1836979,C,01,1,25
1405093,1,06,8843622,0,3315475,I,02,1,99
1431954,1,06,357127,0,8500798,I,01,1,31
867404,1,03,5051146,0,403166,C,01,1,31
285480,1,03,9785062,0,2143833,I,01,1,32
703679,1,08,9770074,0,4597176,C,01,1,11
1937239,1,08,1268398,0,5976035,C,01,1,11
31022,1,06,7137155,0,8911382,I,01,1,22
165989,1,06,8535865,0,1809526,I,99,1,99
